respondent_id,cluster
4,1
5,1
6,1
7,1
11,1
14,1
15,1
16,1
20,1
22,1
23,1
24,1
27,1
30,1
32,1
33,1
38,1
41,1
43,1
45,1
50,1
57,1
58,1
59,1
62,1
65,1
67,1
69,1
72,1
73,1
78,1
80,1
84,1
91,1
99,1
100,1
2,2
3,2
8,2
10,2
12,2
13,2
26,2
35,2
36,2
44,2
51,2
53,2
54,2
56,2
68,2
70,2
74,2
75,2
76,2
77,2
81,2
87,2
89,2
92,2
93,2
1,3
9,3
17,3
18,3
19,3
21,3
25,3
28,3
29,3
31,3
34,3
37,3
39,3
40,3
42,3
46,3
47,3
48,3
49,3
52,3
55,3
60,3
61,3
63,3
64,3
66,3
71,3
79,3
82,3
83,3
85,3
86,3
88,3
90,3
94,3
95,3
96,3
97,3
98,3
