respondent_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,1,3,2,3,4,2,3,4
2,3,3,3,3,4,4,4,4
3,4,3,4,4,4,4,4,3
4,2,2,3,4,1,3,3,2
5,1,1,3,1,2,2,1,4
6,3,1,1,1,2,1,2,2
7,1,1,3,1,1,1,4,1
8,4,4,3,4,4,4,4,4
9,2,3,2,2,2,3,3,1
10,4,3,4,3,4,4,4,3
11,1,1,3,3,2,2,3,2
12,4,3,3,4,4,4,4,4
13,4,4,4,4,4,3,3,4
14,1,1,1,2,1,1,1,2
15,2,1,2,1,2,2,2,3
16,2,1,1,1,2,1,4,1
17,3,3,3,3,3,3,2,3
18,2,1,3,2,4,4,4,3
19,1,4,3,4,4,4,2,3
20,2,1,1,1,4,2,2,1
21,3,4,2,3,4,3,3,3
22,1,1,2,2,3,3,1,2
23,2,2,2,2,3,1,1,1
24,3,1,3,3,3,3,1,2
25,3,2,2,3,3,2,3,2
26,3,4,4,4,4,4,4,4
27,2,1,1,1,1,4,3,2
28,2,2,2,2,3,3,3,3
29,4,3,3,3,3,2,2,4
30,1,1,1,1,3,2,1,1
31,2,3,2,2,3,3,3,2
32,1,2,1,3,2,1,1,2
33,1,1,3,1,2,2,1,2
34,4,4,4,4,3,3,3,2
35,3,4,3,3,4,2,4,4
36,3,4,4,4,4,4,3,3
37,3,3,4,2,3,3,2,4
38,2,1,2,2,1,3,1,3
39,2,3,2,1,4,2,2,4
40,4,3,3,2,3,2,3,4
41,2,2,1,1,1,1,1,3
42,2,2,2,3,3,2,2,3
43,1,2,2,1,1,4,1,1
44,4,4,4,4,4,3,4,4
45,1,3,1,1,1,1,1,1
46,2,3,3,3,4,2,2,4
47,2,4,1,4,2,4,3,4
48,2,3,4,3,3,3,3,3
49,3,4,1,2,4,4,3,3
50,1,1,1,1,2,1,4,4
51,4,4,4,4,4,3,4,4
52,4,4,4,4,4,4,2,2
53,4,4,4,3,4,4,4,4
54,4,4,4,3,2,4,4,4
55,4,3,3,4,4,2,3,2
56,4,4,3,4,4,4,3,4
57,1,2,1,3,2,2,3,1
58,1,1,2,2,3,1,1,1
59,1,1,1,1,3,1,1,3
60,2,3,4,4,2,4,3,3
61,2,4,3,2,3,2,2,2
62,1,1,1,2,1,1,3,2
63,4,3,3,2,3,3,3,3
64,2,3,2,2,3,3,1,4
65,1,1,3,3,1,1,3,2
66,2,2,2,3,3,2,3,4
67,1,1,2,3,2,1,1,2
68,4,3,3,4,2,4,3,4
69,1,3,2,2,3,1,1,2
70,4,4,4,3,3,4,4,4
71,4,4,4,3,3,3,3,3
72,1,1,1,3,1,1,1,4
73,1,1,4,3,3,1,1,2
74,4,4,4,3,4,3,4,4
75,4,3,3,4,3,4,3,4
76,4,2,4,3,2,4,4,4
77,3,4,4,4,4,4,4,4
78,2,3,1,2,4,1,1,2
79,3,3,2,3,2,2,2,4
80,2,1,1,3,2,2,1,1
81,4,4,4,4,3,4,4,4
82,4,3,2,4,3,2,2,4
83,3,3,4,3,2,2,2,4
84,1,1,2,3,2,3,1,3
85,2,2,3,2,3,3,3,3
86,3,3,2,2,2,4,3,3
87,4,4,3,4,4,4,2,4
88,4,3,3,4,3,2,3,3
89,4,4,4,4,4,3,4,4
90,2,4,4,3,3,2,2,3
91,2,1,1,1,2,3,1,1
92,4,4,3,4,3,3,4,4
93,4,4,4,4,2,4,3,4
94,2,2,2,4,3,3,2,4
95,3,4,3,3,2,4,4,3
96,3,3,3,2,3,3,2,2
97,3,4,2,2,3,3,1,2
98,3,3,1,2,3,3,1,2
99,2,1,2,1,1,1,2,3
100,2,1,2,1,2,3,1,1
